MCC|MNC|NetType|Organisation|Network|PPCIN|AbrevNetName
901|15|GSM 1800|SITA OnAir Switzerland Sarl|ONAIR|OnAir|OnAir
901|14|GSM 1800|AeroMobile AS|AeroMobile|AeroMobile|AeroMob
901|12|GSM 900|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|GSM 1800|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|GSM 1900|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|3G 1800|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|3G 2100|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|LTE 800|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|LTE 1800|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|12|LTE 1900|Telenor Maritime AS|Telenor Maritime|Telenor Maritime|TelenorM
901|46|GSM 900|Telecom26 AG|Telecom26|Telecom26|T26
901|46|GSM 1800|Telecom26 AG|Telecom26|Telecom26|T26
311|170|GSM 850|Tampnet AS |Tampnet|Tampnet|Tampnet
242|99|LTE 800|Tampnet AS |Tampnet|Tampnet|Tampnet
242|99|LTE 900|Tampnet AS |Tampnet|Tampnet|Tampnet
242|99|LTE 1800|Tampnet AS |Tampnet|Tampnet|Tampnet
901|11|GSM Satellite|Inmarsat Plc|Inmarsat Global|Inmarsat|INX
901|50|MSS 2000|EchoStar Mobile Ltd|EchoStar Mobile Ltd|EchoStar Mobile|EML
363|02|GSM 900|New Millennium Telecom Services NV|Digicel|AW Digicel|Digicel
363|02|GSM 1800|New Millennium Telecom Services NV|Digicel|AW Digicel|Digicel
363|02|3G 2100|New Millennium Telecom Services NV|Digicel|AW Digicel|Digicel
363|01|GSM 900|Servicio di Telecomunicacion di Aruba|SETAR GSM|SETAR|SETAR
363|01|3G 2100|Servicio di Telecomunicacion di Aruba|SETAR GSM|SETAR|SETAR
363|01|LTE 1800|Servicio di Telecomunicacion di Aruba|SETAR GSM|SETAR|SETAR
363|01|GSM 1800|Servicio di Telecomunicacion di Aruba|SETAR GSM|SETAR|SETAR
412|50|GSM 900|Emirates Telecommunications Corporation (ETISALAT)|Etisalat Afghanistan|Etisalat Af|Etisalat
412|50|GSM 1800|Emirates Telecommunications Corporation (ETISALAT)|Etisalat Afghanistan|Etisalat Af|Etisalat
412|40|GSM 900|MTN Afghanistan|MTN Afghanistan|MTN AF|MTN
412|40|GSM 1800|MTN Afghanistan|MTN Afghanistan|MTN AF|MTN
412|20|GSM 900|Telecom Development Company Afghanistan Limited|ROSHAN|ROSHAN|ROSHAN
412|01|GSM 900|Afghan Wireless Communication Company |AWCC|AF AWCC|AWCC
412|01|GSM 1800|Afghan Wireless Communication Company |AWCC|AF AWCC|AWCC
631|04|3G 900|"Movicel - Telecomunicações, S.A. "|MOVICEL|MOVICEL|AGOMV
631|04|GSM 900|"Movicel - Telecomunicações, S.A. "|MOVICEL|MOVICEL|AGOMV
631|04|GSM 1800|"Movicel - Telecomunicações, S.A. "|MOVICEL|MOVICEL|AGOMV
631|04|LTE 1800|"Movicel - Telecomunicações, S.A. "|MOVICEL|MOVICEL|AGOMV
631|02|GSM 900|Unitel S.A.|UNITEL|UNITEL|UNITEL
631|02|GSM 1800|Unitel S.A.|UNITEL|UNITEL|UNITEL
631|02|LTE 1800|Unitel S.A.|UNITEL|UNITEL|UNITEL
631|02|3G 2100|Unitel S.A.|UNITEL|UNITEL|UNITEL
365|840|GSM 850|Cable and Wireless (Anguilla) Ltd|FLOW|FLOW|FLOW
276|03|GSM 900|ALBtelecom sh.a.|ALBtelecom|ALBtelecom|ATmobile
276|03|GSM 1800|ALBtelecom sh.a.|ALBtelecom|ALBtelecom|ATmobile
276|03|3G 2100|ALBtelecom sh.a.|ALBtelecom|ALBtelecom|ATmobile
276|03|LTE 1800|ALBtelecom sh.a.|ALBtelecom|ALBtelecom|ATmobile
276|03|LTE 2600|ALBtelecom sh.a.|ALBtelecom|ALBtelecom|ATmobile
276|02|3G 2100|Vodafone - Albania|Vodafone Albania|Voda AL|Voda AL
276|02|LTE 1800|Vodafone - Albania|Vodafone Albania|Voda AL|Voda AL
276|02|LTE 2600|Vodafone - Albania|Vodafone Albania|Voda AL|Voda AL
276|02|GSM 900|Vodafone - Albania|Vodafone Albania|Voda AL|Voda AL
276|02|GSM 1800|Vodafone - Albania|Vodafone Albania|Voda AL|Voda AL
276|01|GSM 900|TELEKOM ALBANIA SH.A|Telekom Albania Sh.A.|Telekom.al|T.al
276|01|GSM 1800|TELEKOM ALBANIA SH.A|Telekom Albania Sh.A.|Telekom.al|T.al
276|01|LTE 1800|TELEKOM ALBANIA SH.A|Telekom Albania Sh.A.|Telekom.al|T.al
276|01|LTE 2600|TELEKOM ALBANIA SH.A|Telekom Albania Sh.A.|Telekom.al|T.al
276|01|3G 2100|TELEKOM ALBANIA SH.A|Telekom Albania Sh.A.|Telekom.al|T.al
213|03|3G 2100|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
213|03|GSM 900|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
213|03|GSM 1800|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
213|03|LTE 800|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
213|03|LTE 1800|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
213|03|3G 900|"Andorra Telecom, S.A.U."|ANDORRA TELECOM|AndorraTelecom|AndorraT
362|91|GSM 900|UTS N.V.|UTS Wireless Curacao|CHIPPIE|CHIPPIE
362|51|GSM 900|Telcell N.V.|Telcell N.V.|Telcell GSM|Telcell
362|69|GSM 900|Curaçao Telecom N.V.|Digicel Curacao|Digicel|Digicel
362|69|LTE 1800|Curaçao Telecom N.V.|Digicel Curacao|Digicel|Digicel
362|69|3G 2100|Curaçao Telecom N.V.|Digicel Curacao|Digicel|Digicel
362|69|3G 850|Curaçao Telecom N.V.|Digicel Curacao|Digicel|Digicel
362|78|3G 900|Telefonia Bonairiano NV (Telbo)|Kla|Kla|Kla
362|78|LTE 1800|Telefonia Bonairiano NV (Telbo)|Kla|Kla|Kla
424|03|GSM 900|Emirates Integrated Telecommunications Company PJSC|du|du|du
424|03|GSM 1800|Emirates Integrated Telecommunications Company PJSC|du|du|du
424|03|3G 2100|Emirates Integrated Telecommunications Company PJSC|du|du|du
424|02|3G 2100|Emirates Telecom Corp-ETISALAT|ETISALAT|ETISALAT|ETISALAT
424|02|GSM 900|Emirates Telecom Corp-ETISALAT|ETISALAT|ETISALAT|ETISALAT
722|310|GSM 850|AMX Argentina S.A.|CLARO ARGENTINA|CLARO ARGENTINA|CLARO AR
722|310|GSM 1900|AMX Argentina S.A.|CLARO ARGENTINA|CLARO ARGENTINA|CLARO AR
722|07|GSM 1900|Telefónica Móviles Argentina S.A.|Telefónica Móviles Argentina S.A.|AR - Movistar|Movistar
722|010|GSM 850|Telefónica Móviles Argentina S.A.|Telefonica MVNO|AR - TEFMVNO|TEFMVNO
722|34|GSM 850|Telecom Argentina S.A.|Personal|AR PERSONAL|AR TP
722|36|GSM 1900|Telecom Argentina S.A.|Personal|AR PERSONAL|AR TP
283|10|GSM 900|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|GSM 1800|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|3G 900|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|3G 2100|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|LTE-FDD 800|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|LTE 2600|UCOM LLC|Ucom|Ucom AM|Ucom
283|10|LTE 1800|UCOM LLC|Ucom|Ucom AM|Ucom
