MCC,MNC,Short Name,Long Name
202,1,C-OTE,GR COSMOTE
202,5,voda GR,vodafone GR
202,9,WIND,WIND GR
202,10,WIND,WIND GR
204,2,Tele2,Tele2 NL
204,4,voda NL,vodafone NL
204,8,NL KPN,NL KPN
204,12,NL Tlfrt,NL Telfort
204,16,TMO NL,T-Mobile NL
204,20,Orange,Orange NL
206,1,Proximus,Proximus
206,10,OBE,Orange B
206,20,BASE,BASE
208,1,Orange,Orange
208,2,Contact,Contact
208,9,SFR,F SFR
208,10,SFR,SFR
208,11,SFRFEMTO,SFR FEMTO
208,13,Contact,Contact
208,15,Free,Free
208,20,BYTEL,Bouygues Telecom
208,88,Contact,Contact
212,1,vala,vala
212,10,MONACO,Monaco
213,3,M-AND,ANDORRA-MOBILAND
214,1,vodafone ES,vodafone ES
214,3,Orange,Orange
214,4,YOIGO,YOIGO
214,7,Movistar,Movistar
216,1,TelenorH3G,TelenorH3G
216,30,TMO H3G,TMO H3G
216,70,voda HU3G,voda HU3G
218,3,HTERONET,HT ERONET
218,5,m:tel,m:tel
218,90,BHMOBILE,BH Mobile
219,1,HT HR,HT HR
219,2,Tele2 HR,Tele2 HR
219,10,VIP,VIP
220,1,Telenor,Telenor SRB
220,3,MTS,mt:s
220,4,TMO CG,T-Mobile CG
220,5,Vip SRB,Vip SRB
222,1,TIM,TIM
222,10,voda IT,vodafone IT
222,88,WIND,WIND
222,99,3 ITA,3 ITA
226,1,VF-RO,RO Vodafone RO
226,3,TELEKOM,TELEKOM.RO
226,5,Digi,RO Digi.Mobil
226,10,Orange,Orange
228,1,Swisscom,Swisscom
228,2,Sunrise,Sunrise
228,3,Salt,Salt
228,7,In&Phone,In&Phone
228,8,T2,CHE  Tele2 Switzerland
230,1,TMO CZ,T-Mobile CZ
230,2,O2 - CZ,O2 - CZ
230,3,Vodafone,Vodafone CZ
231,1,Orange,Orange SK
231,2,Telekom,Telekom SK
231,3,SWAN SK,SWAN SK
231,6,O2 - SK,O2 - SK
232,1,A1,A1
232,3,TMA,T-Mobile A
232,5,3 AT,3 AT
232,7,telering,telering
232,10,3 AT,3 AT
232,12,A1,A1
234,1,UK01,UK01
